aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.5107,2,58662.245833300054,"ZTF18absrlhv","","ztf"
"",20.533,2,58663.32380789984,"ZTF18absrlhv","","ztf"
"",20.3582,2,58663.32429399993,"ZTF18absrlhv","","ztf"
"",19.8515,2,58684.23792820005,"ZTF18absrlhv","","ztf"
"",20.3043,2,58690.34841440013,"ZTF18absrlhv","","ztf"
"",16.4009,2,58695.27547449991,"ZTF18absrlhv","","ztf"
"",17.1546,2,58698.27962959977,"ZTF18absrlhv","","ztf"
"",17.5681,2,58698.28149309987,"ZTF18absrlhv","","ztf"
"",19.2098,2,58701.28026620019,"ZTF18absrlhv","","ztf"
"",19.2688,2,58701.28212960018,"ZTF18absrlhv","","ztf"
"",20.2067,2,58707.193368100096,"ZTF18absrlhv","","ztf"
"",19.6148,2,58721.26936340006,"ZTF18absrlhv","","ztf"
"",20.3226,2,58723.292708300054,"ZTF18absrlhv","","ztf"
"",19.5827,2,58730.26849539997,"ZTF18absrlhv","","ztf"
"",19.2969,2,58737.29024309991,"ZTF18absrlhv","","ztf"
"",19.608,2,58738.15366900014,"ZTF18absrlhv","","ztf"
"",19.3524,2,58739.15055559995,"ZTF18absrlhv","","ztf"
"",16.5136,2,58742.150659699924,"ZTF18absrlhv","","ztf"
"",20.1455,2,58743.15231479984,"ZTF18absrlhv","","ztf"
"",20.3416,2,58745.153125000186,"ZTF18absrlhv","","ztf"
"",19.9158,2,58762.152002300136,"ZTF18absrlhv","","ztf"
"",19.2334,2,58767.1391551001,"ZTF18absrlhv","","ztf"
"",19.5434,2,58772.14239579998,"ZTF18absrlhv","","ztf"
"",18.9668,2,58773.13916670019,"ZTF18absrlhv","","ztf"
"",19.5213,2,58777.14068289986,"ZTF18absrlhv","","ztf"
"",19.0277,2,58781.138726899866,"ZTF18absrlhv","","ztf"
"",19.4951,2,58797.09373839991,"ZTF18absrlhv","","ztf"
"",20.2448,2,58877.51541669993,"ZTF18absrlhv","","ztf"
"",20.1915,2,58877.516354199965,"ZTF18absrlhv","","ztf"
"",18.7528,2,58888.514629600104,"ZTF18absrlhv","","ztf"
"",16.6755,2,58900.4896296002,"ZTF18absrlhv","","ztf"
"",17.4267,2,58915.51565970015,"ZTF18absrlhv","","ztf"
"",17.282,2,58915.51704860013,"ZTF18absrlhv","","ztf"
"",20.4416,2,58936.51690969989,"ZTF18absrlhv","","ztf"
"",20.4141,2,58936.517847199924,"ZTF18absrlhv","","ztf"
"",17.4046,2,58939.493761599995,"ZTF18absrlhv","","ztf"
"",17.3942,2,58939.49515049998,"ZTF18absrlhv","","ztf"
"",17.8983,2,58969.34834490018,"ZTF18absrlhv","","ztf"
"",18.3804,2,58976.32268519979,"ZTF18absrlhv","","ztf"
"",19.1751,2,58977.43554400001,"ZTF18absrlhv","","ztf"
